Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
A1,Electrosmith_Daisy_Seed_Rev4,Electrosmith_Daisy_Seed,99.38,-32.495,0,top
C1,10UF,C_0805_2012Metric,84.25,-44,180,top
C2,100NF,C_0805_2012Metric,84.25,-46.25,180,top
C3,100NF,C_0805_2012Metric,88.25,-46.25,0,top
C4,10UF,C_0805_2012Metric,84,-56.5,180,top
C5,10UF,C_0805_2012Metric,85.7,-63,180,top
C6,22UF,C_0805_2012Metric,84.75,-78.25,0,top
C7,100NF,C_0805_2012Metric,109.85,-128.45,-90,top
C8,100NF,C_0805_2012Metric,107.6,-128.45,-90,top
C9,10UF,C_0805_2012Metric,119.1,-120.2,-90,top
C10,10UF,C_0805_2012Metric,123.6,-120.2,-90,top
C11,10UF,C_0805_2012Metric,103.107875,-120.375,90,top
C12,10UF,C_0805_2012Metric,100.875,-120.375,90,top
C13,100NF,C_0805_2012Metric,99.904664,-128.45,-90,top
C14,100NF,C_0805_2012Metric,102.154664,-128.45,-90,top
C15,10UF,C_0805_2012Metric,96.375,-120.4625,90,top
C16,10UF,C_0805_2012Metric,93.882875,-120.471624,90,top
C17,100NF,C_0805_2012Metric,118,-50.25,90,top
D1,1N5817,D_SOD-123,83.75,-40.25,90,top
D2,1N4148,D_SOD-123,128.5,-42.5,180,top
D3,1N4007,D_SOD-123F,92.8,-112.65,-90,top
D4,1N4007,D_SOD-123F,120,-112.2,90,top
FS1,Foot_Switch_1,PinHeader_1x02_P2.54mm_Vertical,111,-132.8,90,top
FS2,Foot_Switch_2,PinHeader_1x02_P2.54mm_Vertical,100.45,-132.8,90,top
J1,Barrel_Jack,Generic_PowerJack,92.2875,-42.3875,-90,top
J2,AUDIO_IN_TRS,NEUTRIK_NMJ6HCD2,120.75,-96.5,0,top
J3,AUDIO_OUT_TRS,NEUTRIK_NMJ6HCD2,93.25,-96.5,180,top
J4,MIDI IN JACK,TRRS-PJ-320A,120,-30.25,0,top
J5,MIDI OUT JACK,TRRS-PJ-320A,107,-30.25,0,top
K1,G6K-2,Relay_DPDT_Omron_G6K-2G-Y,126.8,-112.35,90,top
K2,G6K-2,Relay_DPDT_Omron_G6K-2G-Y,86.3,-112.35,-90,top
L1,2.2uH,L_0805_2012Metric,87.75,-56.5,0,top
LED1,LED_1,PinHeader_1x02_P2.54mm_Vertical,105.75,-103.5,90,top
LED2,LED_2,PinHeader_1x02_P2.54mm_Vertical,105.75,-89.5,90,top
POT1,10K,Pot_RightAngle_LongPin_16mm,89,-61,0,top
POT2,10K,Pot_RightAngle_LongPin_16mm,125,-61,0,top
POT3,10K,Pot_RightAngle_LongPin_16mm,89,-86,0,top
POT4,10K,Pot_RightAngle_LongPin_16mm,125,-86,0,top
Q1,SS8050,SOT-23-3,116.8,-112.3,-90,top
R1,2M,R_0805_2012Metric,116.85,-120.2,90,top
R2,2M,R_0805_2012Metric,121.35,-120.2,90,top
R3,100K,R_0805_2012Metric,123.6,-124.45,90,top
R4,2M,R_0805_2012Metric,116.85,-124.3625,90,top
R5,2M,R_0805_2012Metric,119.1,-124.3625,90,top
R6,100K,R_0805_2012Metric,121.35,-124.3625,-90,top
R7,2M,R_0805_2012Metric,100.875,-124.1125,90,top
R8,2M,R_0805_2012Metric,103.125,-124.1125,-90,top
R9,2M,R_0805_2012Metric,98.625,-124.1125,90,top
R10,2M,R_0805_2012Metric,96.375,-124.1125,-90,top
R11,100R,R_0805_2012Metric,94.125,-124.0375,90,top
R12,100R,R_0805_2012Metric,91.65,-124.046624,90,top
R13,2M,R_0805_2012Metric,98.625,-120.425,-90,top
R14,2M,R_0805_2012Metric,91.632875,-120.434124,-90,top
R15,220R,R_0805_2012Metric,129.25,-39.5,0,top
R16,33R,R_0805_2012Metric,111.75,-36,-90,top
R17,10R,R_0805_2012Metric,111.75,-41.75,-90,top
R18,470R,R_0805_2012Metric,118,-46,90,top
R19,1K,R_0805_2012Metric,111.25,-60.5,0,top
R20,1K,R_0805_2012Metric,111.25,-58,0,top
R21,1K,R_0805_2012Metric,116.8,-109,0,top
R24,1K,R_0805_2012Metric,108.2,-112.4,90,top
R25,1K,R_0805_2012Metric,101.8,-112.4,90,top
U1,LD1117S50TR_SOT223,SOT-223-3_TabPin2,86.75,-51.5,180,top
U2,PDS1-S5-S5-M,CONV_PDS1-S5-S5-M,88.5,-70.5,-90,top
U3,MCP6004,SOIC-14_3.9x8.7mm_P1.27mm,110.35,-122.45,90,top
U4,OPA1652AID,SOIC-8_3.9x4.9mm_P1.27mm,94.404664,-129.45,0,top
U5,H11L1,SOP-6_2.54mm,125.5,-48.5,180,top
U7,CPC1018N,SOP-4_3.8x4.1mm_P2.54mm,111.83,-112.45,90,top
U8,CPC1018N,SOP-4_3.8x4.1mm_P2.54mm,98.07,-112.45,-90,top
